,rank,name,channel_name,office,official,dimention,voice,fans,video_count,duration,like_count,dislike_count,comment_count,islive,tag_count,view_count_per_video,video_publish_delta,Youtube_days,follow,follower,favourites,tweets_count,mentioned,retweeted,text_len,mention_myself,mention_vtuber,delta_tweet_sec,TW_days,view_count
1506,1507,東城姉妹のゲーム実況,,,,,,184.0,43.0,1511.906977,7.093023256,0.06976744186,3.5348837210000004,0.0,26.1627907,111.2325581,3.14336778,178.4115965,8.0,316.0,692.0,560.0,0.655,0.0,52.875,0.0,0.015,25162.63317,178.4077616,4792.0
1507,1508,たまこねこまた.ch,,,個人,二次元,男,180.0,10.0,259.5,14.5,0.1,5.5,0.0,1.1,179.9,10.30887731,132.2225224,566.0,466.0,419.0,206.0,0.58,0.0,60.93,0.005,0.285,40427.07035,132.0660139,1805.0
1508,1509,vtuberスティックマン,,,,,,194.0,5.0,107.0,20.6,0.8,14.4,0.0,13.6,164.8,21.27032118,736.4560062,579.0,489.0,16407.0,7563.0,0.855,0.0,53.905,0.005,0.625,682.361809,94.34827086,828.0
1509,1510,痣身ユフィ,,,,,,181.0,8.0,885.125,15.0,0.625,4.375,0.25,5.25,184.625,9.453454034,97.66901544,398.0,539.0,957.0,1197.0,0.5505050505,0.0,81.18686869,0.0202020202,0.14646464650000002,6981.873095999998,99.0336528,1484.0
1510,1511,小林フジヤ,,,,,,176.0,12.0,4187.333333,11.41666667,0.1666666667,1.0,0.8333333333,1.75,95.5,5.115640783,76.12420063,650.0,526.0,2516.0,3255.0,0.66,0.005,28.095,0.0,0.465,2055.361809,76.1165116,1156.0
1511,1512,らぷたんチャンネル,,,個人,三次元,男,179.0,55.0,1521.04,3.78,0.2,1.64,0.16,12.74,155.6,2.898496315,149.5865965,978.0,671.0,1078.0,1760.0,0.405,0.0,68.87,0.0,0.17,16693.68844,146.5504005,7982.0
1512,1513,篠暗偽菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1514,リンネの世界,,,個人,三次元,女,176.0,11.0,332.2727273,16.63636364,0.0,2.454545455,0.0,4.545454545,96.27272727,7.93237037,93.32003396,535.0,475.0,2140.0,1344.0,0.62,0.0,41.66,0.0,0.235,6153.507538,96.49195141,1072.0
1514,1515,チャンネル翔闇コウ,,,,,,,,,,,,,,,,,376.0,387.0,17.0,1241.0,0.42,0.0,54.355,0.01,0.195,23313.70854,93.19000697,
1515,1516,MMDえもリス,,,,,,173.0,12.0,222.0,39.33333333,4.083333333,6.333333333,0.0,7.5,1916.75,31.87979903,574.2318395,1149.0,853.0,19798.0,26558.0,0.8693467337,0.005025125628,62.25125628,0.005025125628,0.01005025126,1189.282828,573.878213,23011.0
1516,1517,Anna,,,,,,174.0,11.0,248.5454545,59.11111111,0.5555555556,32.9,0.0,5.090909091,840.0909091,92.59893403,945.3238534,1015.0,1084.0,15816.0,11495.0,0.935,0.0,64.4,0.005,0.0,2860.055276,620.1469861,9249.0
1517,1518,V2 BURTON,,,個人,三次元,機械,174.0,16.0,4038.5625,10.6875,0.125,3.5625,0.5625,5.3125,224.75,9.244314043,167.52334409999997,1673.0,921.0,4193.0,328.0,0.435,0.0,77.35,0.0,0.24,45132.24121,163.030713,3613.0
1518,1519,ゲームとかやるVTuberぜるぜん,,,,,,181.0,16.0,5423.0625,8.0,0.25,1.0,0.6875,1.0,70.6875,3.939575617,463.3734136,2985.0,1616.0,4461.0,4004.0,0.7135678392,0.0,77.22110553,0.0,0.3266331658,1878.676768,244.7471482,1134.0
